asset_name,feed_type,feed_product,days_opened_avg
Capital Area Technology & REALTOR Services,Data Feed Type - Electronic Trestle Agreement,IDX Feed,11
Capital Area Technology & REALTOR Services,Data Feed Type - CWS Initiated with MLS,Back Office Feed,41
Capital Area Technology & REALTOR Services,Data Feed Type - CWS Initiated with MLS,IDX Feed,31
Carolina Smokies Association of REALTORS,Data Feed Type - Member Initiated with MLS,Back Office Feed,479
Carpet Capital Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,5
Cedar Rapids Area Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,4
Cedar Rapids Area Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,6
Central Illinois Board of Realtors,Data Feed Type - Electronic Trestle Agreement,IDX Feed,10
Central Iowa Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,63
Central Iowa Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,47
Central New York Information Services,Data Feed Type - Electronic Trestle Agreement,IDX Feed,13
Central New York Information Services,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,25
Central New York Information Services,Data Feed Type - Electronic Trestle Agreement,VOW Feed,213
Central Oregon Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,7
Central Oregon Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,51
Central Panhandle Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,VOW Feed,30
Central Panhandle Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,2
Central Susquehanna Valley Board of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,450
Central Susquehanna Valley Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,15
Central Texas MLS (CTXMLS),Data Feed Type - Electronic Trestle Agreement,Back Office Feed,2
Central Texas MLS (CTXMLS),Data Feed Type - Electronic Trestle Agreement,IDX Feed,2
Central Texas MLS (CTXMLS),Data Feed Type - Hard Copy Agreement,Back Office Feed,6
Central Virginia Regional MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,3
Central Virginia Regional MLS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,24
Central West Tennessee Association of REALTORData,Feed Type - CWS Initiated with MLS,Back Office Feed,51
Central West Tennessee Association of REALTORData,Feed Type - CWS Initiated with MLS,IDX Feed,10
Central West Tennessee Association of REALTORData,Feed Type - CWS Initiated with MLS,VOW Feed,38
Central Wisconsin Board of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,7
Central Wisconsin Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,57
Charlottesville Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,20
Cheyenne Board of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,15
CHS Regional MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,56
CHS Regional MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,53
Coastal Carolinas Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,430
Coastal Carolinas Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,52
Coastal Carolinas Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,13
Coeur d'Alene Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,Back Office Feed,19
Coeur d'Alene Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,VOW Feed,36
Coeur d'Alene Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,IDX Feed,8
Columbia Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,6
Columbia Greene Northern Dutchess MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,40
Columbus and Central Ohio Regional MLS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,15
Columbus and Central Ohio Regional MLS,Data Feed Type - Member Initiated with MLS,Back Office Feed,43
Columbus and Central Ohio Regional MLS,Data Feed Type - Hard Copy Agreement,VOW Feed,213
Columbus Board of REALTORS (GA),Data Feed Type - CWS Initiated with MLS,IDX Feed,13
Commercial and Industrial Real Estate Brokers (CData,Feed Type - CWS Initiated with MLS,IDX Feed,23
Conejo Simi Moorpark Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,161
Conejo Simi Moorpark Association of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,30
Consolidated MLS (Columbia MLS),Data Feed Type - Hard Copy Agreement,IDX Feed,14
Consolidated MLS (Columbia MLS),Data Feed Type - Hard Copy Agreement,Back Office Feed,42
Cooperative Arkansas REALTORS MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,11
Dayton REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,4
Daytona Beach Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
Daytona Beach Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,5
Des Moines Area Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,12
Des Moines Area Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,2
Doorify MLS (fomerly Triangle MLS),Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,38
Doorify MLS (fomerly Triangle MLS),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,18
Dothan Multiple Listing Service,Data Feed Type - Member Initiated with MLS,IDX Feed,24
East Central Iowa Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,77
East Central Iowa Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,100
East Tennessee Realtors (Knoxville),Data Feed Type - CWS Initiated with MLS,IDX Feed,21
East Tennessee Realtors (Knoxville),Data Feed Type - CWS Initiated with MLS,Back Office Feed,97
East Tennessee Realtors (Knoxville),Data Feed Type - Hard Copy Agreement,IDX Feed,382
Eastern Arkansas Realtors Association,Data Feed Type - CWS Initiated with MLS,IDX Feed,14
Eastern Shore Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,11
ElmiraCorning Regional Association of REALTORSData,Feed Type - Member Initiated with MLS,IDX Feed,83
Emerald Coast Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,16
FargoMoorhead Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,51
Firelands Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,VOW Feed,424
Firelands Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,26
First Multiple Listing Service (FMLS),Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,43
First Multiple Listing Service (FMLS),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,16
First Multiple Listing Service (FMLS),Data Feed Type - Member Initiated with MLS Portal,VOW Feed,34
First Multiple Listing Service (FMLS),Data Feed Type - Member Initiated with MLS,IDX Feed,14
Flint Hills Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,8
Florida Gulf Coast Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,IDX Feed,95
Florida Keys Board of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,18
Florida Keys Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,8
Fort Smith Board of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,12
Garden City MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,5
Garden State MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,13
Garden State MLS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,4
Garden State MLS,Data Feed Type - Member Initiated with MLS Portal,VOW Feed,28
Georgia MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,19
Georgia MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,9
Global MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,110
Golden Isles Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,40
Golden Triangle Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,3
Grand County Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,146
Grand Forks Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,63
Grand Forks Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,18
Grand Forks Area Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,49
Grand Junction Area REALTOR Association,Data Feed Type - Electronic Trestle Agreement,IDX Feed,7
Great North MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,29
Great Plains MLS (KS),Data Feed Type - Member Initiated with MLS,IDX Feed,6
Great Plains Regional MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,26
Great Plains Regional MLS,Data Feed Type - Member Initiated with MLS,Back Office Feed,26
Great Smoky Mountains Association of REALTORData,Feed Type - CWS Initiated with MLS,IDX Feed,8
Greater Alabama MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,8
Greater Antelope Valley Association of REALTORData,Feed Type - Hard Copy Agreement,IDX Feed,12
Greater Antelope Valley Association of REALTORData,Feed Type - CWS Initiated with MLS,IDX Feed,7
Greater Augusta Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,457
Greater Augusta Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,27
Greater Baton Rouge Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,303
Greater Baton Rouge Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,VOW Feed,197
Greater Baton Rouge Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,35
Greater Binghamton Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,VOW Feed,21
Greater Binghamton Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,21
Greater Chattanooga Association of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,27
Greater Chattanooga Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,23
Greater Chattanooga Association of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,17
Greater Chattanooga Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,20
Greater El Paso Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,7
Greater El Paso Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,13
Greater Erie Board of REALTORS MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,15
Greater Fort Polk Area REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,13
Greater Greenville Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,46
Greater Greenville Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,42
Greater Lehigh Valley REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,71
Greater Louisville Association of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,17
Greater Louisville Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,18
Greater Louisville Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,3
Greater Mason City Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,6
Greater Mason City Board of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,7
Greater McAllen Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,10
Greater Northwoods MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,5
Greater Pocatello Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,119
Greater Pocatello Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,398
Greater Scranton Board of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,22
Greater Scranton Board of REALTORS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,11
Greater Southern MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,13
Greater Tyler Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,18
Greater Tyler Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,60
Greenbrier Valley Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,53
Greenbrier Valley Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,349
Gulf Coast MLS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,28
Gulf South Real Estate Information Network,Data Feed Type - Electronic Trestle Agreement,IDX Feed,33
Hattiesburg Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,19
Hawaii Information Service,Data Feed Type - Hard Copy Agreement,IDX Feed,16
Hawaii Information Service,Data Feed Type - CWS Initiated with MLS,IDX Feed,7
Hawaii Information Service,Data Feed Type - Member Initiated with MLS,IDX Feed,3
Heart of Kentucky Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,35
Heart of Missouri Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,3
Heartland Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,42
Heartland MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,257
Heartland MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,22
Hernando County Association of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,50
Hernando County Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,8
Hernando County Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,4
Hernando County Association of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,32
Hicentral MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,10
High Country Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,1
HighlandsCashiers Board of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,3
HighlandsCashiers Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,24
HighlandsCashiers Board of REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,1
Hinesville Area Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,53
Hinesville Area Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,21
Hinesville Area Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,11
Houston Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,14
Houston Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,1
Hudson County MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,21
Hudson Valley Catskills Region MLS (Ulster CountData,Feed Type - CWS Initiated with MLS,IDX Feed,5
Hudson Valley Catskills Region MLS (Ulster CountData,Feed Type - Hard Copy Agreement,VOW Feed,210
Humboldt Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,38
Huron Board of Realtors,Data Feed Type - CWS Initiated with MLS,IDX Feed,16
Imagine MLS (Bluegrass Realtors),Data Feed Type - CWS Initiated with MLS,IDX Feed,2
Imagine MLS (Bluegrass Realtors),Data Feed Type - CWS Initiated with MLS,Back Office Feed,25
Imperial County Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,22
Imperial County Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,22
Indiana Regional MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,129
Information and Real Estate Services (IRES),Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,1
Information and Real Estate Services (IRES),Data Feed Type - Hard Copy Agreement,IDX Feed,49
Information and Real Estate Services (IRES),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,10
Information Technology Systems Ontario (ITSO),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,10
Information Technology Systems Ontario (ITSO),Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,4
Intermountain Multiple Listing Service,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,7
Iowa City Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,47
Iowa City Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,41
Iowa Great Lakes Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,13
Iowa Great Lakes Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,13
Ithaca Board of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,6
Jefferson City Area Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,6
Jefferson City Area Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,16
Jefferson City Area Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,63
Lake Martin Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,24
Lake of the Ozarks Board of REALTORS MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,59
Lakeway Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,65
Laramie Board of REALTORS MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,24
Laredo Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,46
Las Vegas REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,11
Las Vegas REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,13
Lawrence Board of REALTORS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,36
Lee County Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,19
Lincoln County Board of REALTORS MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,19
Longleaf Pine REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,37
Longleaf Pine REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,37
Longview Area Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,67
Longview Area Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,47
Longview Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,6
Lowcountry Regional MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,37
Lowcountry Regional MLS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,20
Lubbock Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,15
Lubbock Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,9
Lufkin Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,4
Luzerne County Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,244
Lynchburg Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,34
Maine Listings,Data Feed Type - Hard Copy Agreement,IDX Feed,11
Mansfield Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,6
Marathon and Lower Keys Association of REALT,Data Feed Type - Hard Copy Agreement,IDX Feed,438
Marco Island Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,VOW Feed,18
MARIS MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,31
MARIS MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,8
Martin County REALTORS of the Treasure Coast,Data Feed Type - Electronic Trestle Agreement,IDX Feed,3
Martin County REALTORS of the Treasure Coast,Data Feed Type - Electronic Trestle Agreement,VOW Feed,3
Memphis Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,12
Memphis Area Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,42
Metro MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,38
Metro MLS,Data Feed Type - Member Initiated with MLS,Back Office Feed,472
Metro MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,6
MetroList,Data Feed Type - CWS Initiated with MLS,Back Office Feed,18
MetroList,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,5
MetroList,Data Feed Type - Hard Copy Agreement,Back Office Feed,1
MetroList,Data Feed Type - Hard Copy Agreement,IDX Feed,13
MetroList,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
MIBOR Broker Listing Cooperative,Data Feed Type - Electronic Grid Agreement,Back Office Feed,18
MIBOR Broker Listing Cooperative,Data Feed Type - Electronic Grid Agreement,IDX Feed,8
Michigan Regional Information Center (MichRIC)Data,Feed Type - Hard Copy Agreement,IDX Feed,35
Middle Georgia MLS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,14
Middle Georgia MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,14
MidKansas MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,2
MidKansas MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,29
Midwest Real Estate Data (MRED),Data Feed Type - Electronic Grid Agreement,VOW Feed,15
Midwest Real Estate Data (MRED),Data Feed Type - Electronic Grid Agreement,Back Office Feed,6
Midwest Real Estate Data (MRED),Data Feed Type - Electronic Grid Agreement,IDX Feed,11
Minot Multiple Listing Service,Data Feed Type - Member Initiated with MLS,IDX Feed,18
MiRealSource,Data Feed Type - Hard Copy Agreement,IDX Feed,24
Mitchell Board of Realtors,Data Feed Type - CWS Initiated with MLS,IDX Feed,15
MLS Now,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,3
MLS Now,Data Feed Type - Electronic Trestle Agreement,IDX Feed,8
MLS of Greater Cincinnati (CincyMLS),Data Feed Type - Member Initiated with MLS Portal,VOW Feed,4
MLS of Greater Cincinnati (CincyMLS),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,99
MLS of Hilton Head Island (HHIMLS),Data Feed Type - CWS Initiated with MLS,IDX Feed,17
MLS of Hilton Head Island (HHIMLS),Data Feed Type - CWS Initiated with MLS,Back Office Feed,42
MLS of Southern Arizona,Data Feed Type - Hard Copy Agreement,IDX Feed,1
MLS of Southern Arizona,Data Feed Type - Hard Copy Agreement,Back Office Feed,40
MLS Property Information Network (MLS PIN),Data Feed Type - Hard Copy Agreement,VOW Feed,6
MLS Technology,Data Feed Type - Electronic Trestle Agreement,IDX Feed,5
MLS Technology,Data Feed Type - Hard Copy Agreement,Back Office Feed,29
MLS Technology,Data Feed Type - Hard Copy Agreement,IDX Feed,23
MLS United,Data Feed Type - CWS Initiated with MLS,IDX Feed,8
MLS United,Data Feed Type - CWS Initiated with MLS,VOW Feed,18
MLS United,Data Feed Type - CWS Initiated with MLS,Back Office Feed,10
MLSListings,Data Feed Type - Member Initiated with MLS,IDX Feed,14
MLSListings,Data Feed Type - Hard Copy Agreement,Back Office Feed,57
MLSListings,Data Feed Type - Hard Copy Agreement,IDX Feed,16
