mls,feed_status,ticket,dlm,state,brokerage_name,broker_name,agreement_type,feed_access_level,display_url,rules_link,logo_link,disclaimer,dlm_email,company_name,last_updated,new_date,ready_for_compliance,pending_cws,pending_broker,pending_mls,pending_compliance_mod,approved_provisioning,approved_complete
California Regional Multiple Listing Service (CRMLS),Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/15/2024 8:12am,,,,,,,,8/15/2024
California Regional Multiple Listing Service (CRMLS),Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:28pm,7/31/2024,9/5/2024,,,,,9/9/2024,9/17/2024
Canadian Real Estate Association (CREA),Cancelled,ticketlink.com,B,ON,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/13/2024 1:02pm,7/31/2024,9/13/2024,,,,,11/7/2024,11/12/2024
Canadian Real Estate Association (CREA),Approved - Complete,ticketlink.com,B,ON,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:48am,7/29/2024,9/13/2024,,9/13/2024,11/7/2024,11/11/2024,,
Canopy MLS (Canopy Realtor Association),Pending - MLS,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/26/2024 11:38am,7/30/2024,9/11/2024,,9/18/2024,11/26/2024,,11/11/2024,11/18/2024
Canopy MLS (Canopy Realtor Association),Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/18/2024 9:53am,7/31/2024,9/11/2024,,9/18/2024,,,9/27/2024,10/2/2024
Cape Cod & Islands Association of REALTORS,Approved - Complete,ticketlink.com,A,MA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:43am,7/30/2024,9/26/2024,,9/26/2024,9/26/2024,,9/27/2024,10/2/2024
Cape Cod & Islands Association of REALTORS,Approved - Complete,ticketlink.com,A,MA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:42am,7/31/2024,9/26/2024,,9/26/2024,9/26/2024,,10/11/2024,10/16/2024
Capital Area Technology & REALTOR Services (Tallahassee Board of REALTORS),Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:45am,7/30/2024,9/26/2024,,,10/4/2024,,10/11/2024,10/16/2024
Capital Area Technology & REALTOR Services (Tallahassee Board of REALTORS),Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:46am,7/31/2024,9/26/2024,,,10/4/2024,,10/23/2024,11/6/2024
Cedar Rapids Area Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:45am,7/29/2024,10/21/2024,,10/21/2024,,,10/22/2024,10/28/2024
Cedar Rapids Area Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/28/2024 5:15pm,7/31/2024,10/21/2024,,10/21/2024,,,11/18/2024,11/19/2024
Central Iowa Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/19/2024 12:47pm,7/30/2024,9/13/2024,,9/24/2024,9/13/2024,,11/15/2024,11/15/2024
Central Iowa Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 6:07pm,7/31/2024,9/13/2024,,9/13/2024,,,,8/20/2024
Central Jersey MLS,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 1:14pm,,,,,,,9/11/2024,9/17/2024
Central Jersey MLS,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:47pm,7/31/2024,8/27/2024,,,9/11/2024,,10/24/2024,11/6/2024
Central New York Information Services,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:18am,7/30/2024,10/21/2024,,10/22/2024,,,11/13/2024,11/15/2024
Central New York Information Services,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 12:33pm,7/31/2024,10/21/2024,,10/22/2024,,,11/21/2024,11/21/2024
Central Oregon Association of REALTORS,Approved - Complete,ticketlink.com,B,OR,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/21/2024 5:25pm,7/30/2024,11/14/2024,,11/15/2024,,,11/21/2024,11/21/2024
Central Oregon Association of REALTORS,Approved - Complete,ticketlink.com,B,OR,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/21/2024 5:26pm,7/31/2024,11/14/2024,,11/15/2024,,,9/23/2024,10/2/2024
Central Panhandle Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:32am,7/29/2024,9/11/2024,,9/17/2024,,,11/19/2024,11/24/2024
Central Panhandle Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),VOW,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/24/2024 12:49am,7/31/2024,9/11/2024,,11/19/2024,,,9/16/2024,9/19/2024
Central Texas MLS (CTXMLS),Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 1:50pm,7/29/2024,9/11/2024,,9/11/2024,,,9/13/2024,9/19/2024
Central Texas MLS (CTXMLS),Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 2:15pm,7/31/2024,9/11/2024,,9/11/2024,,,10/23/2024,11/6/2024
Central Virginia Regional MLS,Approved - Complete,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:19am,7/29/2024,10/21/2024,,10/22/2024,,,,
Central Virginia Regional MLS,Approved - Complete,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/11/2024 5:52pm,7/31/2024,10/21/2024,,,,,10/23/2024,11/11/2024
Central West Tennessee Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:58am,7/29/2024,10/21/2024,,10/23/2024,,,11/1/2024,11/6/2024
Central West Tennessee Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/20/2024 9:35am,7/31/2024,10/21/2024,,10/23/2024,11/6/2024,,11/19/2024,11/20/2024
Central Wisconsin Multiple Listing Service,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:46am,7/30/2024,9/16/2024,,9/18/2024,11/6/2024,,11/6/2024,11/12/2024
Central Wisconsin Multiple Listing Service,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:01am,7/31/2024,,,,,,11/6/2024,11/14/2024
CHS Regional MLS (CTAR),Pending - Broker,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/26/2024 11:15am,7/31/2024,10/21/2024,,11/26/2024,11/6/2024,,,
CHS Regional MLS (CTAR),Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 12:35pm,7/30/2024,10/21/2024,,11/26/2024,12/10/2024,,12/10/2024,12/12/2024
Coastal Carolinas Association of REALTORS,Pending - MLS,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/31/2024 4:24pm,7/29/2024,10/21/2024,,,10/31/2024,,,
Coastal Carolinas Association of REALTORS,Pending - MLS,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/31/2024 4:24pm,7/31/2024,10/21/2024,,,10/31/2024,,,
Coeur d'Alene Multiple Listing Service,Approved - Complete,ticketlink.com,B,ID,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:53am,7/29/2024,10/21/2024,,10/21/2024,,,10/25/2024,11/6/2024
Coeur d'Alene Multiple Listing Service,Approved - Complete,ticketlink.com,B,ID,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:42am,7/31/2024,10/21/2024,,10/21/2024,,,11/6/2024,11/12/2024
Colorado Real Estate Network (CREN),Pending - MLS,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/11/2024 8:45am,7/29/2024,9/11/2024,,9/16/2024,10/11/2024,,,
Colorado Real Estate Network (CREN),Pending - MLS,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/11/2024 8:44am,7/31/2024,9/11/2024,,9/20/2024,10/11/2024,,,
Columbus Board of REALTORS (NE),Pending - Broker,ticketlink.com,B,NE,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/1/2024 11:52am,7/31/2024,9/26/2024,,10/1/2024,,,,
Columbus Board of REALTORS (NE),Approved - Complete,ticketlink.com,B,NE,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/22/2024 6:08pm,7/30/2024,9/26/2024,,10/1/2024,11/21/2024,,11/22/2024,11/22/2024
Consolidated MLS (Columbia MLS),Pending - Broker,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/7/2024 10:10am,7/31/2024,9/16/2024,,10/7/2024,,,,
Consolidated MLS (Columbia MLS),Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:31am,,,,8/19/2024,9/16/2024,,9/23/2024,10/2/2024
Daytona Beach Area Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/21/2024 9:59am,,,,,,,,8/21/2024
Daytona Beach Area Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 11:02am,8/13/2024,9/5/2024,,,,,9/6/2024,9/23/2024
Des Moines Area Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 4:25pm,7/29/2024,9/13/2024,,9/13/2024,9/17/2024,,9/18/2024,9/19/2024
Des Moines Area Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 11:06am,7/31/2024,9/13/2024,,9/13/2024,,,9/24/2024,9/25/2024
Dixie Gilchrist Levy Counties Board of REALTORS,Pending - MLS,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 12:05pm,7/30/2024,10/21/2024,,10/28/2024,11/6/2024,,,
Dixie Gilchrist Levy Counties Board of REALTORS,Pending - MLS,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 12:05pm,7/31/2024,10/21/2024,,10/28/2024,11/6/2024,,,
East Central Iowa Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/21/2024 1:48pm,,,,9/24/2024,11/20/2024,,11/21/2024,11/21/2024
East Central Iowa Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/21/2024 1:34pm,7/31/2024,9/5/2024,,9/13/2024,11/20/2024,,11/21/2024,11/21/2024
East Tennessee REALTORS MLS (Knoxville),Pending - Broker,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 4:22pm,,,,12/13/2024,12/10/2024,,,
East Tennessee REALTORS MLS (Knoxville),Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/19/2024 10:12am,,,,8/22/2024,8/30/2024,,10/28/2024,11/19/2024
Eastern Shore Association of REALTORS,New,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,,
Eastern Shore Association of REALTORS,Approved - Complete,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:17am,7/29/2024,10/23/2024,,,10/23/2024,,10/29/2024,11/6/2024
Emerald Coast Association of REALTORS,Pending - Broker,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/16/2024 1:28pm,7/31/2024,8/27/2024,,9/16/2024,8/29/2024,,,
Emerald Coast Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/21/2024 9:59am,,,,,,,,8/21/2024
FargoMoorhead Area Association of REALTORS,Pending - MLS,ticketlink.com,B,ND,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/6/2024 1:39pm,7/30/2024,9/26/2024,12/6/2024,10/1/2024,12/6/2024,,,
FargoMoorhead Area Association of REALTORS,Pending - MLS,ticketlink.com,B,ND,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/6/2024 1:39pm,7/31/2024,9/26/2024,,10/1/2024,12/6/2024,,,
First Multiple Listing Service (FMLS),Pending - Broker,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:18am,7/31/2024,9/26/2024,,10/2/2024,,,,
